cep,street_name,street_type_source,neighborhood_source,raw_line,source_reference,source_generation
68310-252,A,av,Maranhão,68310-252 A - av - Maranhão,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68310-400,A,r,Cid Nova,68310-400 A - r - Cid Nova,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68310-302,A,r,Primavera,68310-302 A - r - Primavera,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68317-214,Abacabal,tv,Beira Rio,68317-214 Abacabal - tv - Beira Rio,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68312-049,Abadia,tv,Jd Planalto,68312-049 Abadia - tv - Jd Planalto,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68315-051,Abaetetuba,tv,Cid Jardim,68315-051 Abaetetuba - tv - Cid Jardim,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68312-053,Abatiá,tv,Jd Planalto,68312-053 Abatiá - tv - Jd Planalto,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68317-706,Abdias,r,At Bonito,68317-706 Abdias - r - At Bonito,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68315-121,Abel Figueiredo,r,Cid Jardim,68315-121 Abel Figueiredo - r - Cid Jardim,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68319-390,Abel Nunes,r,Novo Viver,68319-390 Abel Nunes - r - Novo Viver,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68319-302,Abelardo Condurú,r,Novo Viver,68319-302 Abelardo Condurú - r - Novo Viver,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68318-133,Abraão,tv,Habitar Feliz,68318-133 Abraão - tv - Habitar Feliz,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68313-726,Abrantes,r,N Carajás,68313-726 Abrantes - r - N Carajás,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68315-161,Acácia,tv,Cid Jardim,68315-161 Acácia - tv - Cid Jardim,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68312-304,Açaí,r,Brasília,68312-304 Açaí - r - Brasília,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68310-630,Açaí,r,Liberdade I,68310-630 Açaí - r - Liberdade I,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68320-232,Açaí,tv,Palmares II,68320-232 Açaí - tv - Palmares II,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68310-262,Açailândia,r,Maranhão,68310-262 Açailândia - r - Maranhão,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68318-426,Acapúlco,tv,Novo Horizonte,68318-426 Acapúlco - tv - Novo Horizonte,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68318-121,Acará,tv,Habitar Feliz,68318-121 Acará - tv - Habitar Feliz,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68313-098,"Acaraí , do",tv,Amazônia,"68313-098 Acaraí , do - tv - Amazônia",NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68312-011,Acaraú,tv,Jd Planalto,68312-011 Acaraú - tv - Jd Planalto,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68311-546,Acari,tv,Morada Nova,68311-546 Acari - tv - Morada Nova,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68317-324,Acemira,tv,Beira Rio,68317-324 Acemira - tv - Beira Rio,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68312-246,Acerola,r,Brasília,68312-246 Acerola - r - Brasília,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68320-055,"Acesso a Ferrovia , de",est,Palmares Sul,"68320-055 Acesso a Ferrovia , de - est - Palmares Sul",NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68316-151,Aço,tv,Minérios,68316-151 Aço - tv - Minérios,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68317-093,Aconã,r,Prq Carajás,68317-093 Aconã - r - Prq Carajás,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68313-302,Acrab,r,Alvorá,68313-302 Acrab - r - Alvorá,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68310-320,Acre,r,Primavera,68310-320 Acre - r - Primavera,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68315-525,Acuana,r,Cid Jardim,68315-525 Acuana - r - Cid Jardim,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68315-201,Açucena,r,Cid Jardim,68315-201 Açucena - r - Cid Jardim,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68317-668,Adonai,r,At Bonito,68317-668 Adonai - r - At Bonito,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68311-548,Afenas,al,Morada Nova,68311-548 Afenas - al - Morada Nova,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68310-782,Afonso Arinos,r,N Vida,68310-782 Afonso Arinos - r - N Vida,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68310-055,Afonso Arinos,r,Paz,68310-055 Afonso Arinos - r - Paz,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68310-380,Afonso Cortês,al,Primavera,68310-380 Afonso Cortês - al - Primavera,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68320-276,Afonso Henrique Saldanha,r,Palmares II,68320-276 Afonso Henrique Saldanha - r - Palmares II,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68318-226,Afonso Pena,r,Altamira,68318-226 Afonso Pena - r - Altamira,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68318-011,Afonso Pena,r,Habitar Feliz,68318-011 Afonso Pena - r - Habitar Feliz,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68311-802,África do Sul,r,Prq Nações,68311-802 África do Sul - r - Prq Nações,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68315-313,Afuá,r,Cid Jardim,68315-313 Afuá - r - Cid Jardim,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68315-777,Agapanto,tv,Cid Jardim,68315-777 Agapanto - tv - Cid Jardim,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68311-013,Ágata,r,Guanabara,68311-013 Ágata - r - Guanabara,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68311-312,Ágata,r,Jd América,68311-312 Ágata - r - Jd América,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68315-391,Agave,tv,Cid Jardim,68315-391 Agave - tv - Cid Jardim,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68311-462,"Agostinho, Frei",tv,Morada Nova,"68311-462 Agostinho, Frei - tv - Morada Nova",NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68311-550,Agrestina,tv,Morada Nova,68311-550 Agrestina - tv - Morada Nova,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68315-227,Agrião,r,Cid Jardim,68315-227 Agrião - r - Cid Jardim,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68317-296,Água Boa,tv,Beira Rio,68317-296 Água Boa - tv - Beira Rio,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68315-783,Aguapé,r,Cid Jardim,68315-783 Aguapé - r - Cid Jardim,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68318-119,Águas Lindas,al,Habitar Feliz,68318-119 Águas Lindas - al - Habitar Feliz,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68317-352,Águia,r,Beira Rio,68317-352 Águia - r - Beira Rio,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68315-541,Águia,r,Cid Jardim,68315-541 Águia - r - Cid Jardim,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68310-856,Águia Dourada,tv,N Vida,68310-856 Águia Dourada - tv - N Vida,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
68319-169,Aguiar,tv,Tropical,68319-169 Aguiar - tv - Tropical,NOVOS CEPs DE PARAUAPEBAS.pdf,2025-11-26 17:57
