_source_index,fid,id,cep,nm_tip,nom_novo,bairro,b_correio,Zona,secao,entre_ruas,pavimentac,drenagem,meio_fio,iluminacao,agua,rede_energ,rede_esgot,coleta_lix,conservaca,dificil_ac,transporte,setor_fisc,setor_cole
0,1,797,68318-702,Rua,Rua Jamaica,Vale do Sol,Vale do Sol,Norte,7,Rodovia Faruk Salmen  e Travessa Quito,3,1,1,1,0,1,1,2,1,0,0,10,5-ANP
1,2,799,68318-702,Rua,Rua Jamaica,Vale do Sol,Vale do Sol,Norte,5,Rodovia Faruk Salmen  e Travessa Quito,3,1,1,1,0,1,1,2,1,0,0,10,5-ANP
2,3,800,68318-702,Rua,Rua Jamaica,Vale do Sol,Vale do Sol,Norte,5,Rodovia Faruk Salmen  e Travessa Quito,3,1,1,1,0,1,1,2,1,0,0,10,5-ANP
3,4,801,68318-702,Rua,Rua Jamaica,Vale do Sol,Vale do Sol,Norte,5,Rodovia Faruk Salmen  e Travessa Quito,3,1,1,1,0,1,1,2,1,0,0,10,5-ANP
4,5,802,68318-702,Rua,Rua Jamaica,Vale do Sol,Vale do Sol,Norte,5,Rodovia Faruk Salmen  e Travessa Quito,3,1,1,1,0,1,1,2,1,0,0,10,5-ANP
5,6,803,68318-702,Rua,Rua Jamaica,Vale do Sol,Vale do Sol,Norte,5,Rodovia Faruk Salmen  e Travessa Quito,3,1,1,1,0,1,1,2,1,0,0,10,5-ANP
6,7,804,68318-702,Rua,Rua Jamaica,Vale do Sol,Vale do Sol,Norte,5,Rodovia Faruk Salmen  e Travessa Quito,3,1,1,1,0,1,1,2,1,0,0,10,5-ANP
7,8,805,68318-702,Rua,Rua Jamaica,Vale do Sol,Vale do Sol,Norte,5,Rodovia Faruk Salmen  e Travessa Quito,1,1,2,0,0,1,0,2,2,0,0,10,5-ANP
8,9,806,68318-702,Rua,Rua Jamaica,Vale do Sol,Vale do Sol,Norte,5,Rodovia Faruk Salmen  e Travessa Quito,1,1,2,0,0,0,0,2,2,0,0,10,5-ANP
9,10,1985,68311-818,Rua,Rua Peru,Parque das Nações,Parque das Nações,Sul,7,,1,0,2,1,0,1,0,3,2,0,0,10,3-ADP
10,11,9373,68318-746,Rua,Rua Filândia,Vale do Sol,Vale do Sol,Norte,4,Rua Alberto Santos e Avenida Belgrado,3,1,1,1,0,1,1,2,1,0,0,10,5-ANP
11,12,9374,68318-746,Rua,Rua Filândia,Vale do Sol,Vale do Sol,Norte,5,Rua Alberto Santos e Avenida Belgrado,3,1,1,1,0,1,1,2,1,0,0,10,5-ANP
12,13,9375,68318-746,Rua,Rua Filândia,Vale do Sol,Vale do Sol,Norte,5,Rua Alberto Santos e Avenida Belgrado,3,1,1,1,0,1,1,2,1,0,0,10,5-ANP
13,14,9376,68318-746,Rua,Rua Filândia,Vale do Sol,Vale do Sol,Norte,5,Rua Alberto Santos e Avenida Belgrado,3,1,1,1,0,1,1,2,1,0,0,10,5-ANP
14,15,9377,68318-746,Rua,Rua Filândia,Vale do Sol,Vale do Sol,Norte,5,Rua Alberto Santos e Avenida Belgrado,3,1,1,1,0,1,1,2,1,0,0,10,5-ANP
15,16,9455,68310-486,Travessa,Travessa Y,União,União,Central,3,Acesso pela Rua W até rua sem saida,3,1,1,1,1,1,1,1,1,0,0,6,1-DN
16,17,11470,68319-027,Rua,Rua Jakson Souza,Tropical,Tropical,Norte,5,Rua Gonçalves e Rua Dalcídio Jurandir,3,1,1,1,0,1,1,2,1,0,0,10,4-ANP
17,18,12509,68319-175,Rua,Rua Gonçalves,Tropical,Tropical,Norte,5,Rua Walcyr Monteiro e Rua Lucena,3,0,1,1,0,1,1,2,1,0,0,10,4-ANP
18,19,1266,68311-660,Travessa,Travessa Itaré,São Lucas,São Lucas,Sul,3,,1,0,2,1,0,1,0,3,2,0,0,10,2-ADP
19,20,12370,68311-648,Rua,Rua Bozano,São Lucas,São Lucas,Sul,,,1,0,2,1,0,1,0,3,2,0,0,10,2-ADP
20,21,12371,68311-648,Rua,Rua Bozano,São Lucas,São Lucas,Sul,,,1,0,2,1,0,1,0,3,2,0,0,10,2-ADP
21,22,12372,68311-648,Rua,Rua Bozano,São Lucas,São Lucas,Sul,,,1,0,2,1,0,1,0,3,2,0,0,10,2-ADP
22,23,12373,68311-648,Rua,Rua Bozano,São Lucas,São Lucas,Sul,,,1,0,2,1,0,1,0,3,2,0,0,10,2-ADP
23,24,12374,68311-648,Rua,Rua Bozano,São Lucas,São Lucas,Sul,3,,1,0,2,1,0,1,0,3,2,0,0,10,2-ADP
24,25,1236,68311-576,Rua,Rua Diolina Lemos,Morada Nova,Morada Nova,Sul,,,3,1,2,0,0,0,1,3,1,1,0,10,1-DAI
25,26,1237,68311-576,Rua,Rua Diolina Lemos,Morada Nova,Morada Nova,Sul,,,3,1,1,0,0,0,1,3,1,1,0,10,1-DAI
26,27,1393,68310-154,Rua,Rua Novo Mundo,Rio Verde,Rio Verde,Central,,Rua Mangueira II e Rua Bambu,2,1,1,1,1,1,1,3,1,0,0,10,1-ADI
27,28,1394,68310-154,Rua,Rua Novo Mundo,Rio Verde,Rio Verde,Central,,Rua Mangueira II e Rua Bambu,2,1,1,1,1,1,1,3,1,0,0,10,1-ADI
28,29,9536,68310-388,Rua,Rua Barbosa Lima Sobrinho,Primavera,Primavera,Central,4,após a Travessa Darcy Ribeiro e Travessa Bernado Élis,3,0,1,1,1,1,1,2,1,0,0,6,1-ANI
29,30,12058,68310-388,Rua,Rua Barbosa Lima Sobrinho,Primavera,Primavera,Central,3,após a Travessa Darcy Ribeiro e Travessa Bernado Élis,3,0,1,1,1,1,1,2,1,0,0,6,1-ANI
